Algoritmo,Tipo de Vetor,Tamanho,Tempo (ns)
Bubble Sort,Aleatorio,100000,40621102500
Bubble Sort,Aleatorio,100000,40854550000
Bubble Sort,Aleatorio,100000,39602398800
Bubble Sort,Aleatorio,100000,40121948100
Bubble Sort,Aleatorio,100000,40622054100
Bubble Sort,Aleatorio,100000,40354821700
Bubble Sort,Aleatorio,100000,40361867100
Bubble Sort,Aleatorio,100000,40604646900
Bubble Sort,Aleatorio,100000,39953282200
Bubble Sort,Aleatorio,100000,39632624500
Insertion Sort,Aleatorio,100000,11430139600
Insertion Sort,Aleatorio,100000,11165757100
Insertion Sort,Aleatorio,100000,11433884500
Insertion Sort,Aleatorio,100000,8265267400
Insertion Sort,Aleatorio,100000,8243906100
Insertion Sort,Aleatorio,100000,8256666900
Insertion Sort,Aleatorio,100000,8720382300
Insertion Sort,Aleatorio,100000,8273609800
Insertion Sort,Aleatorio,100000,8284796300
Insertion Sort,Aleatorio,100000,8363745900
Selection Sort,Aleatorio,100000,8329381600
Selection Sort,Aleatorio,100000,8313190400
Selection Sort,Aleatorio,100000,6900759100
Selection Sort,Aleatorio,100000,6804405700
Selection Sort,Aleatorio,100000,6898915800
Selection Sort,Aleatorio,100000,7115068500
Selection Sort,Aleatorio,100000,7121870400
Selection Sort,Aleatorio,100000,7018491700
Selection Sort,Aleatorio,100000,6870082400
Selection Sort,Aleatorio,100000,6827548000
Shell Sort,Aleatorio,100000,48309900
Shell Sort,Aleatorio,100000,33616900
Shell Sort,Aleatorio,100000,30081200
Shell Sort,Aleatorio,100000,29436300
Shell Sort,Aleatorio,100000,28276600
Shell Sort,Aleatorio,100000,29659800
Shell Sort,Aleatorio,100000,28116900
Shell Sort,Aleatorio,100000,38044500
Shell Sort,Aleatorio,100000,42214300
Shell Sort,Aleatorio,100000,29919100
Heap Sort,Aleatorio,100000,44075600
Heap Sort,Aleatorio,100000,23078900
Heap Sort,Aleatorio,100000,21922900
Heap Sort,Aleatorio,100000,22155300
Heap Sort,Aleatorio,100000,21921600
Heap Sort,Aleatorio,100000,21992800
Heap Sort,Aleatorio,100000,21956000
Heap Sort,Aleatorio,100000,21946900
Heap Sort,Aleatorio,100000,21925500
Heap Sort,Aleatorio,100000,21953300
Merge Sort,Aleatorio,100000,103869800
Merge Sort,Aleatorio,100000,88740600
Merge Sort,Aleatorio,100000,44784100
Merge Sort,Aleatorio,100000,32317800
Merge Sort,Aleatorio,100000,18453600
Merge Sort,Aleatorio,100000,18638700
Merge Sort,Aleatorio,100000,19059200
Merge Sort,Aleatorio,100000,21717000
Merge Sort,Aleatorio,100000,19911800
Merge Sort,Aleatorio,100000,19815700
Quick Sort,Aleatorio,100000,31322700
Quick Sort,Aleatorio,100000,42627900
Quick Sort,Aleatorio,100000,12245000
Quick Sort,Aleatorio,100000,12219800
Quick Sort,Aleatorio,100000,12259200
Quick Sort,Aleatorio,100000,12239700
Quick Sort,Aleatorio,100000,12263800
Quick Sort,Aleatorio,100000,12412300
Quick Sort,Aleatorio,100000,12194200
Quick Sort,Aleatorio,100000,12415100
Counting Sort,Aleatorio,100000,19102400
Counting Sort,Aleatorio,100000,6256500
Counting Sort,Aleatorio,100000,6142400
Counting Sort,Aleatorio,100000,10806000
Counting Sort,Aleatorio,100000,10784000
Counting Sort,Aleatorio,100000,8184900
Counting Sort,Aleatorio,100000,2548700
Counting Sort,Aleatorio,100000,1945000
Counting Sort,Aleatorio,100000,1898700
Counting Sort,Aleatorio,100000,2490300
Radix Sort,Aleatorio,100000,14994900
Radix Sort,Aleatorio,100000,7949400
Radix Sort,Aleatorio,100000,6416900
Radix Sort,Aleatorio,100000,5986500
Radix Sort,Aleatorio,100000,5829900
Radix Sort,Aleatorio,100000,6137700
Radix Sort,Aleatorio,100000,5743000
Radix Sort,Aleatorio,100000,5855300
Radix Sort,Aleatorio,100000,5764400
Radix Sort,Aleatorio,100000,5869500
Bucket Sort,Aleatorio,100000,39890500
Bucket Sort,Aleatorio,100000,18543300
Bucket Sort,Aleatorio,100000,16208900
Bucket Sort,Aleatorio,100000,9047800
Bucket Sort,Aleatorio,100000,10430700
Bucket Sort,Aleatorio,100000,12779300
Bucket Sort,Aleatorio,100000,12014900
Bucket Sort,Aleatorio,100000,13678200
Bucket Sort,Aleatorio,100000,14126200
Bucket Sort,Aleatorio,100000,14451700
